vzs,naziv,datum,razlika,z,z_flag,if_flag,konsenz
1010P,Dermatološki pregled - prvi,2024-04-11,181.0,0.262,False,False,False
1010P,Dermatološki pregled - prvi,2024-04-18,303.0,0.495,False,False,False
1010P,Dermatološki pregled - prvi,2024-04-25,242.0,0.378,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-03,337.0,0.56,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-09,90.0,0.088,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-16,-44.0,-0.168,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-23,41.0,-0.006,False,False,False
1010P,Dermatološki pregled - prvi,2024-05-30,126.0,0.157,False,False,False
1010P,Dermatološki pregled - prvi,2024-06-06,-120.0,-0.313,False,False,False
1010P,Dermatološki pregled - prvi,2024-06-13,560.0,0.986,False,False,False
1010P,Dermatološki pregled - prvi,2024-06-20,76.0,0.061,False,False,False
1010P,Dermatološki pregled - prvi,2024-06-27,431.0,0.739,False,False,False
1010P,Dermatološki pregled - prvi,2024-07-04,304.0,0.497,False,False,False
1010P,Dermatološki pregled - prvi,2024-07-11,247.0,0.388,False,False,False
1010P,Dermatološki pregled - prvi,2024-07-18,259.0,0.411,False,False,False
1010P,Dermatološki pregled - prvi,2024-07-25,74.0,0.057,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-01,52.0,0.015,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-08,110.0,0.126,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-16,203.0,0.304,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-22,60.0,0.031,False,False,False
1010P,Dermatološki pregled - prvi,2024-08-29,179.0,0.258,False,False,False
1010P,Dermatološki pregled - prvi,2024-09-05,126.0,0.157,False,False,False
1010P,Dermatološki pregled - prvi,2024-09-12,184.0,0.267,False,False,False
1010P,Dermatološki pregled - prvi,2024-09-19,67.0,0.044,False,False,False
1010P,Dermatološki pregled - prvi,2024-09-26,461.0,0.797,False,False,False
1010P,Dermatološki pregled - prvi,2024-10-03,428.0,0.734,False,False,False
1010P,Dermatološki pregled - prvi,2024-10-10,-581.0,-1.194,False,False,False
1010P,Dermatološki pregled - prvi,2024-10-17,-619.0,-1.267,False,True,False
1010P,Dermatološki pregled - prvi,2024-10-24,551.0,0.969,False,False,False
1010P,Dermatološki pregled - prvi,2024-10-31,45.0,0.002,False,False,False
1010P,Dermatološki pregled - prvi,2024-11-07,-126.0,-0.325,False,False,False
1010P,Dermatološki pregled - prvi,2024-11-14,13.0,-0.059,False,False,False
1010P,Dermatološki pregled - prvi,2024-11-21,-120.0,-0.313,False,False,False
1010P,Dermatološki pregled - prvi,2024-11-28,177.0,0.254,False,False,False
1010P,Dermatološki pregled - prvi,2024-12-05,-114.0,-0.302,False,False,False
1010P,Dermatološki pregled - prvi,2024-12-12,-79.0,-0.235,False,False,False
1010P,Dermatološki pregled - prvi,2024-12-19,-96.0,-0.268,False,False,False
1010P,Dermatološki pregled - prvi,2025-01-08,-48.0,-0.176,False,False,False
1010P,Dermatološki pregled - prvi,2025-01-15,223.0,0.342,False,False,False
1010P,Dermatološki pregled - prvi,2025-01-22,-62.0,-0.203,False,False,False
1010P,Dermatološki pregled - prvi,2025-01-29,-538.0,-1.112,False,False,False
1010P,Dermatološki pregled - prvi,2025-02-05,-168.0,-0.405,False,False,False
1010P,Dermatološki pregled - prvi,2025-02-12,169.0,0.239,False,False,False
1010P,Dermatološki pregled - prvi,2025-02-19,-143.0,-0.357,False,False,False
1010P,Dermatološki pregled - prvi,2025-02-26,303.0,0.495,False,False,False
1010P,Dermatološki pregled - prvi,2025-03-05,95.0,0.097,False,False,False
1010P,Dermatološki pregled - prvi,2025-03-12,289.0,0.468,False,False,False
1010P,Dermatološki pregled - prvi,2025-03-19,48.0,0.008,False,False,False
1010P,Dermatološki pregled - prvi,2025-03-26,0.0,-0.084,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-02,-90.0,-0.256,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-09,165.0,0.231,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-16,436.0,0.749,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-23,199.0,0.296,False,False,False
1010P,Dermatološki pregled - prvi,2025-04-30,226.0,0.348,False,False,False
1010P,Dermatološki pregled - prvi,2025-05-07,-78.0,-0.233,False,False,False
1010P,Dermatološki pregled - prvi,2025-05-14,271.0,0.434,False,False,False
1010P,Dermatološki pregled - prvi,2025-05-21,300.0,0.489,False,False,False
1010P,Dermatološki pregled - prvi,2025-05-28,298.0,0.485,False,False,False
1010P,Dermatološki pregled - prvi,2025-06-04,95.0,0.097,False,False,False
1010P,Dermatološki pregled - prvi,2025-06-11,-3158.0,-6.118,True,True,True
1010P,Dermatološki pregled - prvi,2025-06-18,3730.0,7.042,True,True,True
1010P,Dermatološki pregled - prvi,2025-07-02,735.0,1.32,False,True,False
1010P,Dermatološki pregled - prvi,2025-07-09,110.0,0.126,False,True,False
1010P,Dermatološki pregled - prvi,2025-07-16,-80.0,-0.237,False,True,False
1010P,Dermatološki pregled - prvi,2025-07-23,-317.0,-0.69,False,False,False
1010P,Dermatološki pregled - prvi,2025-07-30,-63.0,-0.204,False,False,False
1010P,Dermatološki pregled - prvi,2025-08-06,385.0,0.651,False,False,False
1010P,Dermatološki pregled - prvi,2025-08-13,58.0,0.027,False,False,False
1010P,Dermatološki pregled - prvi,2025-08-20,-134.0,-0.34,False,False,False
1010P,Dermatološki pregled - prvi,2025-08-27,-5.0,-0.094,False,False,False
1010P,Dermatološki pregled - prvi,2025-09-03,15.0,-0.055,False,False,False
1010P,Dermatološki pregled - prvi,2025-09-10,-76.0,-0.229,False,False,False
1010P,Dermatološki pregled - prvi,2025-09-17,160.0,0.222,False,False,False
1010P,Dermatološki pregled - prvi,2025-09-24,149.0,0.201,False,False,False
1010P,Dermatološki pregled - prvi,2025-10-01,-101.0,-0.277,False,False,False
1010P,Dermatološki pregled - prvi,2025-10-08,-125.0,-0.323,False,False,False
1010P,Dermatološki pregled - prvi,2025-10-15,-15.0,-0.113,False,False,False
1010P,Dermatološki pregled - prvi,2025-10-22,-32.0,-0.145,False,False,False
1010P,Dermatološki pregled - prvi,2025-10-29,65.0,0.04,False,False,False
1010P,Dermatološki pregled - prvi,2025-11-05,-244.0,-0.55,False,False,False
1010P,Dermatološki pregled - prvi,2025-11-12,-9.0,-0.101,False,False,False
1010P,Dermatološki pregled - prvi,2025-11-19,-135.0,-0.342,False,False,False
1010P,Dermatološki pregled - prvi,2025-11-26,67.0,0.044,False,False,False
1010P,Dermatološki pregled - prvi,2025-12-03,-235.0,-0.533,False,False,False
1010P,Dermatološki pregled - prvi,2025-12-10,-215.0,-0.495,False,False,False
1010P,Dermatološki pregled - prvi,2025-12-17,-51.0,-0.182,False,False,False
1010P,Dermatološki pregled - prvi,2026-01-07,106.0,0.118,False,False,False
1010P,Dermatološki pregled - prvi,2026-01-14,-73.0,-0.224,False,False,False
1010P,Dermatološki pregled - prvi,2026-01-21,-45.0,-0.17,False,False,False
1010P,Dermatološki pregled - prvi,2026-01-28,-115.0,-0.304,False,False,False
1010P,Dermatološki pregled - prvi,2026-02-04,-1.0,-0.086,False,False,False
1010P,Dermatološki pregled - prvi,2026-02-11,-159.0,-0.388,False,False,False
1010P,Dermatološki pregled - prvi,2026-02-18,-354.0,-0.76,False,False,False
1010P,Dermatološki pregled - prvi,2026-02-25,-135.0,-0.342,False,False,False
1010P,Dermatološki pregled - prvi,2026-03-04,-31.0,-0.143,False,False,False
1010P,Dermatološki pregled - prvi,2026-03-11,-58.0,-0.195,False,False,False
1010P,Dermatološki pregled - prvi,2026-03-18,-32.0,-0.145,False,False,False
1010P,Dermatološki pregled - prvi,2026-03-25,284.0,0.458,False,False,False
1010P,Dermatološki pregled - prvi,2026-04-08,-370.0,-0.791,False,False,False
1010P,Dermatološki pregled - prvi,2026-04-15,5.0,-0.075,False,False,False
1010P,Dermatološki pregled - prvi,2026-04-29,300.0,0.489,False,False,False
1010P,Dermatološki pregled - prvi,2026-05-06,-138.0,-0.348,False,False,False
1010P,Dermatološki pregled - prvi,2026-05-13,320.0,0.527,False,False,False
1010P,Dermatološki pregled - prvi,2026-05-20,101.0,0.109,False,False,False
1010P,Dermatološki pregled - prvi,2026-05-27,423.0,0.724,False,False,False
1010P,Dermatološki pregled - prvi,2026-06-03,-577.0,-1.187,False,False,False
1010P,Dermatološki pregled - prvi,2026-06-17,-225.0,-0.514,False,False,False
1010P,Dermatološki pregled - prvi,2026-06-24,-116.0,-0.306,False,False,False
1010P,Dermatološki pregled - prvi,2026-07-01,-309.0,-0.674,False,False,False
1010P,Dermatološki pregled - prvi,2026-07-08,-66.0,-0.21,False,False,False
1010P,Dermatološki pregled - prvi,2026-07-15,-344.0,-0.741,False,False,False
1018P,Kardiološki pregled - prvi,2024-04-11,-96.0,-0.35,False,False,False
1018P,Kardiološki pregled - prvi,2024-04-18,-187.0,-0.768,False,False,False
1018P,Kardiološki pregled - prvi,2024-04-25,-27.0,-0.032,False,False,False
1018P,Kardiološki pregled - prvi,2024-05-03,168.0,0.864,False,False,False
1018P,Kardiološki pregled - prvi,2024-05-09,-56.0,-0.166,False,False,False
1018P,Kardiološki pregled - prvi,2024-05-16,-150.0,-0.598,False,False,False
1018P,Kardiološki pregled - prvi,2024-05-23,-135.0,-0.529,False,False,False
1018P,Kardiološki pregled - prvi,2024-05-30,-133.0,-0.52,False,False,False
1018P,Kardiološki pregled - prvi,2024-06-06,-417.0,-1.825,False,False,False
1018P,Kardiološki pregled - prvi,2024-06-13,571.0,2.717,True,True,True
1018P,Kardiološki pregled - prvi,2024-06-20,-102.0,-0.377,False,False,False
1018P,Kardiološki pregled - prvi,2024-06-27,173.0,0.887,False,False,False
1018P,Kardiološki pregled - prvi,2024-07-04,-134.0,-0.524,False,False,False
1018P,Kardiološki pregled - prvi,2024-07-11,16.0,0.165,False,False,False
1018P,Kardiološki pregled - prvi,2024-07-18,-147.0,-0.584,False,False,False
1018P,Kardiološki pregled - prvi,2024-07-25,64.0,0.386,False,False,False
1018P,Kardiološki pregled - prvi,2024-08-01,145.0,0.758,False,False,False
1018P,Kardiološki pregled - prvi,2024-08-08,187.0,0.952,False,False,False
1018P,Kardiološki pregled - prvi,2024-08-16,10.0,0.138,False,False,False
1018P,Kardiološki pregled - prvi,2024-08-22,-33.0,-0.06,False,False,False
1018P,Kardiološki pregled - prvi,2024-08-29,-242.0,-1.021,False,False,False
1018P,Kardiološki pregled - prvi,2024-09-05,-434.0,-1.903,False,False,False
1018P,Kardiološki pregled - prvi,2024-09-12,-649.0,-2.892,True,True,True
1018P,Kardiološki pregled - prvi,2024-09-19,759.0,3.581,True,True,True
1018P,Kardiološki pregled - prvi,2024-09-26,-235.0,-0.989,False,True,False
1018P,Kardiološki pregled - prvi,2024-10-03,-285.0,-1.218,False,True,False
1018P,Kardiološki pregled - prvi,2024-10-10,-136.0,-0.533,False,False,False
1018P,Kardiološki pregled - prvi,2024-10-17,-225.0,-0.943,False,False,False
1018P,Kardiološki pregled - prvi,2024-10-24,-185.0,-0.759,False,False,False
1018P,Kardiološki pregled - prvi,2024-10-31,20.0,0.184,False,False,False
1018P,Kardiološki pregled - prvi,2024-11-07,-164.0,-0.662,False,False,False
1018P,Kardiološki pregled - prvi,2024-11-14,-146.0,-0.579,False,False,False
1018P,Kardiološki pregled - prvi,2024-11-21,-543.0,-2.405,True,True,True
1018P,Kardiološki pregled - prvi,2024-11-28,-91.0,-0.327,False,False,False
1018P,Kardiološki pregled - prvi,2024-12-05,-375.0,-1.632,False,False,False
1018P,Kardiološki pregled - prvi,2024-12-12,58.0,0.358,False,False,False
1018P,Kardiološki pregled - prvi,2024-12-19,-229.0,-0.961,False,False,False
1018P,Kardiološki pregled - prvi,2025-01-08,204.0,1.03,False,False,False
1018P,Kardiološki pregled - prvi,2025-01-15,-53.0,-0.152,False,False,False
1018P,Kardiološki pregled - prvi,2025-01-22,76.0,0.441,False,False,False
1018P,Kardiološki pregled - prvi,2025-01-29,-36.0,-0.074,False,False,False
1018P,Kardiološki pregled - prvi,2025-02-05,108.0,0.588,False,False,False
1018P,Kardiološki pregled - prvi,2025-02-12,157.0,0.814,False,False,False
1018P,Kardiološki pregled - prvi,2025-02-19,149.0,0.777,False,False,False
1018P,Kardiološki pregled - prvi,2025-02-26,228.0,1.14,False,False,False
1018P,Kardiološki pregled - prvi,2025-03-05,13.0,0.152,False,False,False
1018P,Kardiološki pregled - prvi,2025-03-12,230.0,1.149,False,False,False
1018P,Kardiološki pregled - prvi,2025-03-19,-40.0,-0.092,False,False,False
1018P,Kardiološki pregled - prvi,2025-03-26,128.0,0.68,False,False,False
1018P,Kardiološki pregled - prvi,2025-04-02,61.0,0.372,False,False,False
1018P,Kardiološki pregled - prvi,2025-04-09,307.0,1.503,False,False,False
1018P,Kardiološki pregled - prvi,2025-04-16,-15.0,0.023,False,False,False
1018P,Kardiološki pregled - prvi,2025-04-23,48.0,0.312,False,False,False
1018P,Kardiološki pregled - prvi,2025-04-30,451.0,2.165,True,False,False
1018P,Kardiološki pregled - prvi,2025-05-07,14.0,0.156,False,False,False
1018P,Kardiološki pregled - prvi,2025-05-14,182.0,0.929,False,False,False
1018P,Kardiološki pregled - prvi,2025-05-21,-21.0,-0.005,False,False,False
1018P,Kardiološki pregled - prvi,2025-05-28,192.0,0.975,False,False,False
1018P,Kardiološki pregled - prvi,2025-06-04,-92.0,-0.331,False,False,False
1018P,Kardiološki pregled - prvi,2025-06-11,-287.0,-1.228,False,False,False
1018P,Kardiološki pregled - prvi,2025-06-18,480.0,2.299,True,False,False
1018P,Kardiološki pregled - prvi,2025-07-02,67.0,0.4,False,False,False
1018P,Kardiološki pregled - prvi,2025-07-09,42.0,0.285,False,False,False
1018P,Kardiološki pregled - prvi,2025-07-16,-17.0,0.014,False,False,False
1018P,Kardiološki pregled - prvi,2025-07-23,160.0,0.827,False,False,False
1018P,Kardiološki pregled - prvi,2025-07-30,124.0,0.662,False,False,False
1018P,Kardiološki pregled - prvi,2025-08-06,-104.0,-0.386,False,False,False
1018P,Kardiološki pregled - prvi,2025-08-13,-15.0,0.023,False,False,False
1018P,Kardiološki pregled - prvi,2025-08-20,-113.0,-0.428,False,False,False
1018P,Kardiološki pregled - prvi,2025-08-27,98.0,0.542,False,False,False
1018P,Kardiološki pregled - prvi,2025-09-03,-62.0,-0.193,False,False,False
1018P,Kardiološki pregled - prvi,2025-09-10,-113.0,-0.428,False,False,False
1018P,Kardiološki pregled - prvi,2025-09-17,-183.0,-0.749,False,False,False
1018P,Kardiološki pregled - prvi,2025-09-24,-335.0,-1.448,False,False,False
1018P,Kardiološki pregled - prvi,2025-10-01,-455.0,-2.0,False,False,False
1018P,Kardiološki pregled - prvi,2025-10-08,-190.0,-0.782,False,False,False
1018P,Kardiološki pregled - prvi,2025-10-15,-134.0,-0.524,False,False,False
1018P,Kardiološki pregled - prvi,2025-10-22,-327.0,-1.412,False,False,False
1018P,Kardiološki pregled - prvi,2025-10-29,116.0,0.625,False,False,False
1018P,Kardiološki pregled - prvi,2025-11-05,-174.0,-0.708,False,False,False
1018P,Kardiološki pregled - prvi,2025-11-12,-46.0,-0.12,False,False,False
1018P,Kardiološki pregled - prvi,2025-11-19,-174.0,-0.708,False,False,False
1018P,Kardiološki pregled - prvi,2025-11-26,-53.0,-0.152,False,False,False
1018P,Kardiološki pregled - prvi,2025-12-03,-61.0,-0.189,False,False,False
1018P,Kardiološki pregled - prvi,2025-12-10,-67.0,-0.216,False,False,False
1018P,Kardiološki pregled - prvi,2025-12-17,-267.0,-1.136,False,False,False
1018P,Kardiološki pregled - prvi,2026-01-07,-48.0,-0.129,False,False,False
1018P,Kardiološki pregled - prvi,2026-01-14,4.0,0.11,False,False,False
1018P,Kardiološki pregled - prvi,2026-01-21,103.0,0.565,False,False,False
1018P,Kardiološki pregled - prvi,2026-01-28,263.0,1.301,False,False,False
1018P,Kardiološki pregled - prvi,2026-02-04,121.0,0.648,False,False,False
1018P,Kardiološki pregled - prvi,2026-02-11,-9.0,0.05,False,False,False
1018P,Kardiološki pregled - prvi,2026-02-18,335.0,1.632,False,False,False
1018P,Kardiološki pregled - prvi,2026-02-25,19.0,0.179,False,False,False
1018P,Kardiološki pregled - prvi,2026-03-04,127.0,0.676,False,False,False
1018P,Kardiološki pregled - prvi,2026-03-11,71.0,0.418,False,False,False
1018P,Kardiološki pregled - prvi,2026-03-18,-190.0,-0.782,False,False,False
1018P,Kardiološki pregled - prvi,2026-03-25,145.0,0.758,False,False,False
1018P,Kardiološki pregled - prvi,2026-04-08,-283.0,-1.209,False,False,False
1018P,Kardiološki pregled - prvi,2026-04-15,105.0,0.575,False,False,False
1018P,Kardiološki pregled - prvi,2026-04-29,359.0,1.742,False,False,False
1018P,Kardiološki pregled - prvi,2026-05-06,-302.0,-1.297,False,False,False
1018P,Kardiološki pregled - prvi,2026-05-13,131.0,0.694,False,False,False
1018P,Kardiološki pregled - prvi,2026-05-20,-108.0,-0.405,False,False,False
1018P,Kardiološki pregled - prvi,2026-05-27,55.0,0.345,False,False,False
1018P,Kardiološki pregled - prvi,2026-06-03,-90.0,-0.322,False,False,False
1018P,Kardiološki pregled - prvi,2026-06-17,-34.0,-0.064,False,False,False
1018P,Kardiološki pregled - prvi,2026-06-24,230.0,1.149,False,False,False
1018P,Kardiološki pregled - prvi,2026-07-01,-189.0,-0.777,False,False,False
1018P,Kardiološki pregled - prvi,2026-07-08,46.0,0.303,False,False,False
1018P,Kardiološki pregled - prvi,2026-07-15,106.0,0.579,False,False,False
1941,UZ vratnih žil,2024-04-11,196.0,0.242,False,False,False
1941,UZ vratnih žil,2024-04-18,578.0,1.175,False,False,False
1941,UZ vratnih žil,2024-04-25,185.0,0.215,False,False,False
1941,UZ vratnih žil,2024-05-03,215.0,0.288,False,False,False
1941,UZ vratnih žil,2024-05-09,256.0,0.389,False,False,False
1941,UZ vratnih žil,2024-05-16,114.0,0.042,False,False,False
1941,UZ vratnih žil,2024-05-23,241.0,0.352,False,False,False
1941,UZ vratnih žil,2024-05-30,132.0,0.086,False,False,False
1941,UZ vratnih žil,2024-06-06,-312.0,-0.999,False,False,False
1941,UZ vratnih žil,2024-06-13,114.0,0.042,False,False,False
1941,UZ vratnih žil,2024-06-20,-184.0,-0.686,False,False,False
1941,UZ vratnih žil,2024-06-27,172.0,0.183,False,False,False
1941,UZ vratnih žil,2024-07-04,-107.0,-0.498,False,False,False
1941,UZ vratnih žil,2024-07-11,-217.0,-0.767,False,False,False
1941,UZ vratnih žil,2024-07-18,89.0,-0.019,False,False,False
1941,UZ vratnih žil,2024-07-25,179.0,0.201,False,False,False
1941,UZ vratnih žil,2024-08-01,-73.0,-0.415,False,False,False
1941,UZ vratnih žil,2024-08-08,70.0,-0.066,False,False,False
1941,UZ vratnih žil,2024-08-16,-166.0,-0.642,False,False,False
1941,UZ vratnih žil,2024-08-22,72.0,-0.061,False,False,False
1941,UZ vratnih žil,2024-08-29,133.0,0.088,False,False,False
1941,UZ vratnih žil,2024-09-05,-295.0,-0.957,False,False,False
1941,UZ vratnih žil,2024-09-12,175.0,0.191,False,False,False
1941,UZ vratnih žil,2024-09-19,-116.0,-0.52,False,False,False
1941,UZ vratnih žil,2024-09-26,59.0,-0.093,False,False,False
1941,UZ vratnih žil,2024-10-03,0.0,-0.237,False,False,False
1941,UZ vratnih žil,2024-10-10,176.0,0.193,False,False,False
1941,UZ vratnih žil,2024-10-17,-33.0,-0.317,False,False,False
1941,UZ vratnih žil,2024-10-24,226.0,0.315,False,False,False
1941,UZ vratnih žil,2024-10-31,383.0,0.699,False,False,False
1941,UZ vratnih žil,2024-11-07,133.0,0.088,False,False,False
1941,UZ vratnih žil,2024-11-14,6.0,-0.222,False,False,False
1941,UZ vratnih žil,2024-11-21,698.0,1.468,False,False,False
1941,UZ vratnih žil,2024-11-28,-379.0,-1.162,False,False,False
1941,UZ vratnih žil,2024-12-05,-581.0,-1.656,False,False,False
1941,UZ vratnih žil,2024-12-12,444.0,0.848,False,False,False
1941,UZ vratnih žil,2024-12-19,379.0,0.689,False,False,False
1941,UZ vratnih žil,2025-01-08,-168.0,-0.647,False,False,False
1941,UZ vratnih žil,2025-01-15,696.0,1.463,False,False,False
1941,UZ vratnih žil,2025-01-22,207.0,0.269,False,False,False
1941,UZ vratnih žil,2025-01-29,581.0,1.182,False,False,False
1941,UZ vratnih žil,2025-02-05,409.0,0.762,False,False,False
1941,UZ vratnih žil,2025-02-12,420.0,0.789,False,False,False
1941,UZ vratnih žil,2025-02-19,227.0,0.318,False,False,False
1941,UZ vratnih žil,2025-02-26,543.0,1.09,False,False,False
1941,UZ vratnih žil,2025-03-05,-63.0,-0.391,False,False,False
1941,UZ vratnih žil,2025-03-12,-283.0,-0.928,False,False,False
1941,UZ vratnih žil,2025-03-19,476.0,0.926,False,False,False
1941,UZ vratnih žil,2025-03-26,549.0,1.104,False,False,False
1941,UZ vratnih žil,2025-04-02,181.0,0.205,False,False,False
1941,UZ vratnih žil,2025-04-09,735.0,1.559,False,False,False
1941,UZ vratnih žil,2025-04-16,255.0,0.386,False,False,False
1941,UZ vratnih žil,2025-04-23,285.0,0.459,False,False,False
1941,UZ vratnih žil,2025-04-30,369.0,0.665,False,False,False
1941,UZ vratnih žil,2025-05-07,26.0,-0.173,False,False,False
1941,UZ vratnih žil,2025-05-14,481.0,0.938,False,False,False
1941,UZ vratnih žil,2025-05-21,300.0,0.496,False,False,False
1941,UZ vratnih žil,2025-05-28,396.0,0.731,False,False,False
1941,UZ vratnih žil,2025-06-04,532.0,1.063,False,False,False
1941,UZ vratnih žil,2025-06-11,-594.0,-1.688,False,False,False
1941,UZ vratnih žil,2025-06-18,827.0,1.783,False,False,False
1941,UZ vratnih žil,2025-07-02,78.0,-0.046,False,False,False
