datum,n_vrstic,n_vzs,n_cak,delez_praznih,agregat_bal,agregat_vse,dni_od_prej,dif,dif_na_teden,dif_rel,z_dif,z_praznih,dif_nasl
2025-03-19,374,374,327,0.1256684491978609,322340.0,322974.0,7.0,319.0,319.0,0.0009906186242512134,-0.02311149581615024,0.6744907594765952,1474.0
2025-03-26,374,374,328,0.12299465240641716,323814.0,324456.0,7.0,1474.0,1474.0,0.004572811317242663,0.6793563375431532,0.48981469175275066,357.0
2025-04-02,374,374,331,0.11497326203208558,324171.0,324831.0,7.0,357.0,357.0,0.0011024847597694972,0.0,-0.06421351141880594,1274.0
2025-04-09,374,374,330,0.11764705882352944,325445.0,326097.0,7.0,1274.0,1274.0,0.003930024585789599,0.5577168858792045,0.12046255630504626,558.0
2025-04-16,374,374,331,0.11497326203208558,326003.0,326636.0,7.0,558.0,558.0,0.0017145754274915884,0.12224764892226839,-0.06421351141880594,1002.0
2025-04-23,374,374,332,0.11229946524064172,327005.0,327647.0,7.0,1002.0,1002.0,0.00307359134731889,0.39228723161623436,-0.24888957914265816,3201.0
2025-04-30,374,374,329,0.1203208556149733,330206.0,330859.0,7.0,3201.0,3201.0,0.009788841149217901,1.7297130026613496,0.30513862402889846,-1751.0
2025-05-07,374,374,328,0.12299465240641716,328455.0,329116.0,7.0,-1751.0,-1751.0,-0.0053027504042930775,-1.2820798205380186,0.48981469175275066,1352.0
2025-05-14,374,374,332,0.11229946524064172,329807.0,330466.0,7.0,1352.0,1352.0,0.0041162411898129116,0.6051562720281445,-0.24888957914265816,-418.0
2025-05-21,373,373,330,0.11528150134048254,329389.0,330048.0,7.0,-418.0,-418.0,-0.0012674079082614985,-0.471352875197801,-0.042923777069947135,2263.0
2025-05-28,373,373,331,0.11260053619302945,331652.0,332320.0,7.0,2263.0,2263.0,0.006870296215113437,1.1592239743574306,-0.22809495489493506,2628.0
2025-06-04,373,373,330,0.11528150134048254,334280.0,334972.0,7.0,2628.0,2628.0,0.007923968497099369,1.3812159736441367,-0.042923777069947135,-32669.0
2025-06-11,373,373,315,0.1554959785522788,301611.0,301694.0,7.0,-32669.0,-32669.0,-0.09772944836663874,-20.08632265326784,2.7346438903048718,31161.0
2025-06-18,373,373,330,0.11528150134048254,332772.0,333451.0,7.0,31161.0,31161.0,0.10331519739001561,18.73490834528137,-0.042923777069947135,368.0
2025-07-02,373,373,331,0.11260053619302945,333508.0,334202.0,14.0,736.0,368.0,0.0022117245441323186,0.0066901698415171755,-0.22809495489493506,1202.0
2025-07-09,374,374,333,0.10962566844919786,334710.0,335419.0,7.0,1202.0,1202.0,0.0036041114456025042,0.513926683280183,-0.43356564686651033,-637.0
2025-07-16,374,374,329,0.1203208556149733,334073.0,334749.0,7.0,-637.0,-637.0,-0.001903140031669206,-0.6045480747698248,0.30513862402889846,3255.0
2025-07-23,373,373,329,0.11796246648793562,337328.0,338004.0,7.0,3255.0,3255.0,0.009743379441020376,1.7625556546106158,0.14224740075504078,-1267.0
2025-07-30,372,372,329,0.11559139784946237,336061.0,336726.0,7.0,-1267.0,-1267.0,-0.0037559882369681734,-0.987712347511263,-0.02151958178372249,1237.0
2025-08-06,372,372,332,0.10752688172043012,337298.0,337969.0,7.0,1237.0,1237.0,0.0036808793641630536,0.535213587321374,-0.5785264312088869,1062.0
2025-08-13,372,372,332,0.10752688172043012,338360.0,339026.0,7.0,1062.0,1062.0,0.0031485511328261657,0.42877906711541897,-0.5785264312088869,-8137.0
2025-08-20,372,372,331,0.11021505376344087,330223.0,330864.0,7.0,-8137.0,-8137.0,-0.024048350868897034,-5.166027512167899,-0.39285748140049875,6643.0
2025-08-27,372,372,330,0.11290322580645162,336866.0,337515.0,7.0,6643.0,6643.0,0.020116709011789004,3.823127965797906,-0.20718853159211062,-542.0
2025-09-03,372,372,330,0.11290322580645162,336324.0,336969.0,7.0,-542.0,-542.0,-0.0016089483652253417,-0.5467693352294491,-0.20718853159211062,960.0
2025-09-10,372,372,330,0.11290322580645162,337284.0,337949.0,7.0,960.0,960.0,0.0028543904092482248,0.36674294676680513,-0.20718853159211062,322.0
2025-09-17,372,372,328,0.11827956989247312,337606.0,338206.0,7.0,322.0,322.0,0.0009546850725204872,-0.02128690404119101,0.16414936802466565,832.0
2025-09-24,372,372,325,0.12634408602150538,338438.0,339033.0,7.0,832.0,832.0,0.002464411177526466,0.288893697701878,0.72115621744983,-526.0
2025-10-01,371,371,328,0.11590296495956875,337912.0,338515.0,7.0,-526.0,-526.0,-0.0015541989965665794,-0.5370381790963332,0.0,1514.0
2025-10-08,371,371,326,0.12129380053908356,339426.0,340058.0,7.0,1514.0,1514.0,0.004480456450200052,0.7036842278759429,0.3723388103974136,2099.0
2025-10-15,371,371,332,0.10512129380053903,341525.0,342171.0,7.0,2099.0,2099.0,0.006183969407175644,1.0594796239929927,-0.744677620794835,1200.0
2025-10-22,371,371,328,0.11590296495956875,342725.0,343372.0,7.0,1200.0,1200.0,0.0035136520020496304,0.5127102887635435,0.0,3220.0
2025-10-29,371,371,329,0.1132075471698113,345945.0,346597.0,7.0,3220.0,3220.0,0.00939528776716026,1.7412687505694249,-0.18616940519871067,-1758.0
2025-11-05,371,371,330,0.11051212938005395,344187.0,344832.0,7.0,-1758.0,-1758.0,-0.005081732645362702,-1.2863372013462568,-0.3723388103974136,1223.0
2025-11-12,371,371,335,0.09703504043126687,345410.0,346056.0,7.0,1223.0,1223.0,0.00355330096720678,0.5266988257048976,-1.3031858363909516,132.0
2025-11-19,371,371,331,0.10781671159029649,345542.0,346142.0,7.0,132.0,132.0,0.0003821545409802843,-0.13684438312194222,-0.5585082155961243,1229.0
2025-11-26,371,371,331,0.10781671159029649,346771.0,347389.0,7.0,1229.0,1229.0,0.0035567311643736506,0.5303480092548161,-0.5585082155961243,-333.0
2025-12-03,371,371,332,0.10512129380053903,346438.0,347077.0,7.0,-333.0,-333.0,-0.0009602879133491555,-0.4196561082406228,-0.744677620794835,-990.0
2025-12-10,371,371,332,0.10512129380053903,345448.0,346112.0,7.0,-990.0,-990.0,-0.0028576541834325333,-0.8192417069566941,-0.744677620794835,-1728.0
2025-12-17,371,371,330,0.11051212938005395,343720.0,344407.0,7.0,-1728.0,-1728.0,-0.005002200041685,-1.2680912835966647,-0.3723388103974136,-94.0
2026-01-07,371,371,332,0.10512129380053903,343438.0,344157.0,21.0,-282.0,-94.0,-0.000820435237984406,-0.27429696350220417,-0.744677620794835,951.0
2026-01-14,371,371,335,0.09703504043126687,344389.0,345132.0,7.0,951.0,951.0,0.002769058752962689,0.3612691714419275,-1.3031858363909516,1953.0
2026-01-21,371,371,337,0.09164420485175206,346342.0,347079.0,7.0,1953.0,1953.0,0.005670912834033607,0.9706828242783102,-1.6755246467883653,3337.0
2026-01-28,371,371,339,0.08625336927223715,349679.0,350430.0,7.0,3337.0,3337.0,0.009634985072558338,1.8124278297928347,-2.0478634571857866,1965.0
2026-02-04,371,371,340,0.0835579514824798,351644.0,352416.0,7.0,1965.0,1965.0,0.005619439543123836,0.9779811913781471,-2.2340328623844896,1500.0
2026-02-11,371,371,335,0.09703504043126687,353144.0,353907.0,7.0,1500.0,1500.0,0.004265677787762623,0.6951694662594665,-1.3031858363909516,4479.0
2026-02-18,371,371,334,0.09973045822102422,357623.0,358368.0,7.0,4479.0,4479.0,0.012683211381192942,2.5069890987939814,-1.1170164311922486,-1295.0
2026-02-25,371,371,335,0.09703504043126687,356328.0,357067.0,7.0,-1295.0,-1295.0,-0.0036211317504746617,-1.0047418707442157,-1.3031858363909516,-1330.0
2026-03-04,371,371,335,0.09703504043126687,354998.0,355763.0,7.0,-1330.0,-1330.0,-0.0037325161087537325,-1.0260287747854069,-1.3031858363909516,1106.0
2026-03-11,371,371,335,0.09703504043126687,356104.0,356865.0,7.0,1106.0,1106.0,0.003115510509918366,0.45553974648148765,-1.3031858363909516,-16.0
2026-03-18,371,371,332,0.10512129380053903,356088.0,356807.0,7.0,-16.0,-16.0,-4.493069440388201e-05,-0.22685757735326423,-0.744677620794835,2247.0
2026-03-25,371,371,336,0.09433962264150941,358335.0,359061.0,7.0,2247.0,2247.0,0.006310237918716721,1.1494928182243147,-1.4893552415896623,-1042.0
2026-04-08,371,371,334,0.09973045822102422,356251.0,356970.0,14.0,-2084.0,-1042.0,-0.005815786903316729,-0.8508679643893208,-1.1170164311922486,-1818.0
2026-04-15,371,371,339,0.08625336927223715,354433.0,355146.0,7.0,-1818.0,-1818.0,-0.005103143570123312,-1.3228290368454414,-2.0478634571857866,1684.0
2026-04-29,371,371,340,0.0835579514824798,357801.0,358539.0,14.0,3368.0,1684.0,0.00950250117793772,0.8070777617902992,-2.2340328623844896,-2204.0
2026-05-06,371,371,337,0.09164420485175206,355597.0,356345.0,7.0,-2204.0,-2204.0,-0.0061598486309428985,-1.5575931785568624,-1.6755246467883653,770.0
2026-05-13,371,371,339,0.08625336927223715,356367.0,357111.0,7.0,770.0,770.0,0.0021653725987564577,0.25118546768605393,-2.0478634571857866,-1253.0
2026-05-20,371,371,336,0.09433962264150941,355114.0,355834.0,7.0,-1253.0,-1253.0,-0.003516038241475782,-0.9791975858947866,-1.4893552415896623,1892.0
2026-05-27,371,371,333,0.10242587601078168,357006.0,357708.0,7.0,1892.0,1892.0,0.005327866544264659,0.9335827915208058,-0.930847025993538,-2300.0
2026-06-03,371,371,334,0.09973045822102422,354706.0,355410.0,7.0,-2300.0,-2300.0,-0.006442468754026543,-1.6159801153555577,-1.1170164311922486,-1327.5
2026-06-17,371,371,333,0.10242587601078168,352051.0,352730.0,14.0,-2655.0,-1327.5,-0.007485072144254678,-1.0245082816396074,-0.930847025993538,394.0
2026-06-24,371,371,332,0.10512129380053903,352445.0,353129.0,7.0,394.0,394.0,0.001119156031370455,0.0225032985578305,-0.744677620794835,-1399.0
2026-07-01,371,371,332,0.10512129380053903,351046.0,351733.0,7.0,-1399.0,-1399.0,-0.003969413667380726,-1.0679943856094691,-0.744677620794835,-236.0
2026-07-08,369,369,333,0.09756097560975607,350810.0,351531.0,7.0,-236.0,-236.0,-0.0006722765677432587,-0.3606609741836077,-1.2668600987912073,1159.0
2026-07-15,367,367,332,0.0953678474114441,351969.0,352669.0,7.0,1159.0,1159.0,0.003303782674382144,0.48777420117243403,-1.4183369398789847,
