korak,razlicica,vrsta,kazalnik,vrednost,enota
C3,delno_ocisceno,contamination=0.03,konsenznih,22.0,
C3,ocisceno,contamination=0.03,konsenznih,21.0,
C3,izhodiscna,contamination=0.05,konsenznih,22.0,
C3,delno_ocisceno,contamination=0.05,konsenznih,27.0,
C3,ocisceno,contamination=0.05,konsenznih,26.0,
C3,izhodiscna,contamination=0.08,konsenznih,26.0,
C3,delno_ocisceno,contamination=0.08,konsenznih,35.0,
C3,ocisceno,contamination=0.08,konsenznih,34.0,
C3,izhodiscna,contamination=0.1,konsenznih,27.0,
C3,delno_ocisceno,contamination=0.1,konsenznih,37.0,
C3,ocisceno,contamination=0.1,konsenznih,36.0,
C4,delno_ocisceno,podatkovna: oznacen nezanesljiv teden,st_zaznav,3.0,
C4,delno_ocisceno,podatkovna: par padec-odboj,st_zaznav,3.0,
C4,delno_ocisceno,podatkovna: sprememba izmerjena cez vrzel v arhivu,st_zaznav,4.0,
C4,delno_ocisceno,podatkovna: teden ob prazniku,st_zaznav,8.0,
C4,delno_ocisceno,procesna ali nepojasnjena,st_zaznav,9.0,
C4,izhodiscna,podatkovna: oznacen nezanesljiv teden,st_zaznav,7.0,
C4,izhodiscna,podatkovna: par padec-odboj,st_zaznav,1.0,
C4,izhodiscna,podatkovna: sprememba izmerjena cez vrzel v arhivu,st_zaznav,3.0,
C4,izhodiscna,podatkovna: teden ob prazniku,st_zaznav,6.0,
C4,izhodiscna,procesna ali nepojasnjena,st_zaznav,5.0,
C4,ocisceno,podatkovna: par padec-odboj,st_zaznav,4.0,
C4,ocisceno,podatkovna: sprememba izmerjena cez vrzel v arhivu,st_zaznav,5.0,
C4,ocisceno,podatkovna: teden ob prazniku,st_zaznav,8.0,
C4,ocisceno,procesna ali nepojasnjena,st_zaznav,9.0,
D1,izhodiscna,h=1,testnih_tock,60.0,
D1,izhodiscna,h=4,testnih_tock,57.0,
D1,delno_ocisceno,h=1,testnih_tock,59.0,
D1,delno_ocisceno,h=4,testnih_tock,56.0,
D1,ocisceno,h=1,testnih_tock,58.0,
D1,ocisceno,h=4,testnih_tock,55.0,
D2,izhodiscna,Agregat,n_korakov,111.0,
D2,izhodiscna,Agregat,korakov_7_dni,101.0,
D2,izhodiscna,Agregat,korakov_6_8_dni,105.0,
D2,izhodiscna,Agregat,korakov_nad_8_dni,6.0,
D2,izhodiscna,Agregat,delez_nerednih,0.0541,
D2,delno_ocisceno,Agregat,n_korakov,110.0,
D2,delno_ocisceno,Agregat,korakov_7_dni,99.0,
D2,delno_ocisceno,Agregat,korakov_6_8_dni,103.0,
D2,delno_ocisceno,Agregat,korakov_nad_8_dni,7.0,
D2,delno_ocisceno,Agregat,delez_nerednih,0.0636,
D2,ocisceno,Agregat,n_korakov,109.0,
D2,ocisceno,Agregat,korakov_7_dni,97.0,
D2,ocisceno,Agregat,korakov_6_8_dni,101.0,
D2,ocisceno,Agregat,korakov_nad_8_dni,8.0,
D2,ocisceno,Agregat,delez_nerednih,0.0734,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 ar1,MAE_vs_naivni_pct,-5.1931,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 ar1,MAE,191.5406,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 ar1,MASE,0.9795,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 lin,MAE_vs_naivni_pct,-550.4179,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 lin,MAE,1184.3119,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 lin,MASE,6.2186,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 naivni,MAE,182.0847,
D,delno_ocisceno,Dermatološki pregled - prvi h=1 naivni,MASE,0.931,
D,delno_ocisceno,Dermatološki pregled - prvi h=4 ar1,MAE_vs_naivni_pct,-9.1469,
D,delno_ocisceno,Dermatološki pregled - prvi h=4 ar1,MAE,496.1311,
