razlicica,vzs,naziv,horizont,model,n_vse,MAE_vse,RMSE_vse,MASE_vse,MAE_vs_naivni_pct_vse,n_brez_vrzeli,MAE_brez_vrzeli,RMSE_brez_vrzeli,MASE_brez_vrzeli,MAE_vs_naivni_pct_brez_vrzeli,razlika_o_t
izhodiscna,1626,Endoproteza kolena,1,lin,60,220.873,259.807,1.729,-34.692,55,221.412,262.759,1.743,-36.889,-2.197
izhodiscna,1626,Endoproteza kolena,1,naivni,60,163.983,295.15,1.354,0.0,55,161.745,291.267,1.348,0.0,0.0
izhodiscna,1626,Endoproteza kolena,4,ar1,57,265.514,329.852,2.057,-13.213,39,256.712,323.376,1.988,-17.578,-4.365
izhodiscna,1626,Endoproteza kolena,4,lin,57,230.323,273.591,1.8,1.792,39,229.178,282.452,1.806,-4.967,-6.759
izhodiscna,1626,Endoproteza kolena,4,naivni,57,234.526,318.364,1.864,0.0,39,218.333,295.724,1.759,0.0,0.0
izhodiscna,1755,MR glave brez kontrasta,1,ar1,60,130.678,163.148,1.205,-0.87,55,134.121,167.803,1.24,-1.189,-0.318
izhodiscna,1755,MR glave brez kontrasta,1,lin,60,1135.976,1224.028,10.189,-776.863,55,1111.646,1202.338,10.009,-738.691,38.172
izhodiscna,1755,MR glave brez kontrasta,1,naivni,60,129.55,162.195,1.189,0.0,55,132.545,166.098,1.22,0.0,0.0
izhodiscna,1755,MR glave brez kontrasta,4,ar1,57,365.742,435.473,3.306,1.987,39,408.865,469.351,3.724,-1.598,-3.585
izhodiscna,1755,MR glave brez kontrasta,4,lin,57,1307.11,1403.783,11.737,-250.283,39,1225.481,1336.918,11.118,-204.516,45.767
izhodiscna,1755,MR glave brez kontrasta,4,naivni,57,373.158,428.401,3.348,0.0,39,402.436,460.411,3.642,0.0,0.0
izhodiscna,1941,UZ vratnih žil,1,ar1,60,342.494,498.565,1.144,1.836,55,335.561,494.207,1.121,3.751,1.915
izhodiscna,1941,UZ vratnih žil,1,lin,60,1648.751,1805.411,5.577,-372.557,55,1593.065,1746.682,5.401,-356.942,15.615
izhodiscna,1941,UZ vratnih žil,1,naivni,60,348.9,484.43,1.176,0.0,55,348.636,482.926,1.177,0.0,0.0
izhodiscna,1941,UZ vratnih žil,4,ar1,57,685.881,852.838,2.303,-15.82,39,665.797,834.862,2.221,-0.906,14.915
izhodiscna,1941,UZ vratnih žil,4,lin,57,1848.013,2029.719,6.256,-212.063,39,1625.027,1820.58,5.543,-146.283,65.779
izhodiscna,1941,UZ vratnih žil,4,naivni,57,592.193,732.165,2.017,0.0,39,659.821,778.611,2.258,0.0,0.0
izhodiscna,AGREGAT,Agregat,1,ar1,60,3172.008,6386.898,1.488,-17.642,55,3238.338,6619.013,1.529,-16.674,0.968
izhodiscna,AGREGAT,Agregat,1,lin,60,5634.783,6828.76,2.685,-108.979,55,5746.558,6954.886,2.763,-107.042,1.937
izhodiscna,AGREGAT,Agregat,1,naivni,60,2696.333,6221.967,1.301,0.0,55,2775.545,6465.877,1.347,0.0,0.0
izhodiscna,AGREGAT,Agregat,4,ar1,57,6325.008,8733.22,2.779,-52.877,39,7065.7,8950.657,3.098,-73.01,-20.133
izhodiscna,AGREGAT,Agregat,4,lin,57,5990.09,7178.759,2.861,-44.782,39,6588.114,7637.281,3.161,-61.316,-16.534
izhodiscna,AGREGAT,Agregat,4,naivni,57,4137.316,6931.291,1.924,0.0,39,4083.974,6236.642,1.929,0.0,0.0
ocisceno,1010P,Dermatološki pregled - prvi,1,ar1,58,194.22,247.441,0.987,-4.857,51,172.714,216.968,0.88,-6.177,-1.32
ocisceno,1010P,Dermatološki pregled - prvi,1,lin,58,1181.134,1419.764,6.145,-537.678,51,1136.631,1390.163,5.917,-598.748,-61.07
ocisceno,1010P,Dermatološki pregled - prvi,1,naivni,58,185.224,242.836,0.941,0.0,51,162.667,209.796,0.828,0.0,0.0
ocisceno,1010P,Dermatološki pregled - prvi,4,ar1,55,503.493,627.04,2.548,-9.511,32,465.618,533.087,2.356,-14.897,-5.385
ocisceno,1010P,Dermatološki pregled - prvi,4,lin,55,1390.868,1633.889,7.233,-202.518,32,1188.8,1485.209,6.155,-193.35,9.168
ocisceno,1010P,Dermatološki pregled - prvi,4,naivni,55,459.764,596.893,2.333,0.0,32,405.25,479.855,2.062,0.0,0.0
