datum,delez_padec,delez_rast,delez_v_oblika,mediana_rel_spr
2025-07-09,0.16312056737588654,0.20212765957446807,0.05319148936170213,0.0006364022061943198
2025-07-16,0.21631205673758866,0.17375886524822695,0.08865248226950355,0.0
2025-07-23,0.1276595744680851,0.20921985815602837,0.03546099290780142,0.0052858391386338965
2025-07-30,0.24468085106382978,0.1276595744680851,0.08156028368794327,-0.007037006563911319
2025-08-06,0.19148936170212766,0.16312056737588654,0.07092198581560284,-0.0012578639020091598
2025-08-13,0.13829787234042554,0.1950354609929078,0.03546099290780142,0.0
2025-08-20,0.3546099290780142,0.09929078014184398,0.1879432624113475,-0.020584704470023307
2025-08-27,0.12056737588652482,0.32978723404255317,0.03900709219858156,0.013364686272175352
2025-09-03,0.1453900709219858,0.20212765957446807,0.05319148936170213,0.0
2025-09-10,0.12056737588652482,0.24822695035460993,0.04609929078014184,0.006049731072331976
2025-09-17,0.1702127659574468,0.22695035460992907,0.05319148936170213,0.0
2025-09-24,0.18085106382978725,0.18085106382978725,0.07446808510638298,0.0
2025-10-01,0.18085106382978725,0.20921985815602837,0.07446808510638298,0.0
2025-10-08,0.16312056737588654,0.2198581560283688,0.07092198581560284,0.005976593163491084
