vzs,naziv,prva,zadnja,rast_pct,mediana,modelirana
1778,MR cervikalne hrbtenice s KS,123.0,200.0,62.6,160.0,False
1779,MR torakalne hrbtenice s KS,84.0,166.0,97.62,118.0,False
1781,MR lumbosakralne hrbtenice s KS,155.0,268.0,72.9,298.0,False
1782,MR rame s KS,29.0,29.0,0.0,34.0,False
1783,MR zapestja s KS,8.0,8.0,0.0,8.5,False
1784,MR roke s KS,8.0,10.0,25.0,7.0,False
1785,MR kolka s KS,17.0,25.0,47.06,20.0,False
1786,MR kolena s KS,16.0,24.0,50.0,25.0,False
1787,MR gležnja s KS,4.0,8.0,100.0,6.0,False
1788,MR stopala s KS,30.0,31.0,3.33,23.0,False
1789,MR skeleta s KS - drugo,23.0,57.0,147.83,33.0,False
1790,MR SIS (sakroliakalnega sklepa) s KS,13.0,14.0,7.69,12.0,False
1791,MR prsnega koša,79.0,85.0,7.59,66.0,False
1792,MR trebušnih organov,614.0,716.0,16.61,676.0,False
1793,MR abdomna - drugo,341.0,405.0,18.77,314.0,False
1794,MR zgornjega abdomna,346.0,735.0,112.43,497.5,False
1795,MR medenice,542.0,703.0,29.7,602.5,False
1796,MR jeter,330.0,390.0,18.18,316.0,False
1797,MR dojke,60.0,108.0,80.0,86.0,False
1798,MR prsnega koša s KS,20.0,34.0,70.0,21.0,False
1799,MR trebušnih organov s KS,180.0,319.0,77.22,215.0,False
1800,MR abdomna s KS - drugo,141.0,190.0,34.75,133.5,False
1801,MR zgornjega abdomna s KS,322.0,1016.0,215.53,512.5,False
1802,MR medenice s KS,330.0,393.0,19.09,308.0,False
1803,MR jeter s kontrastom,368.0,702.0,90.76,401.0,False
1804,MR dojke s KS,108.0,156.0,44.44,100.0,False
1805,MRA možganskega žilja - arterije TOF,845.0,1347.0,59.41,837.0,False
1806,MRA možganskega žilja - vene TOF,12.0,45.0,275.0,22.0,False
1807,MRA aorto - cervikalna TOF,29.0,71.0,144.83,48.5,False
1808,MRA torakalne aorte TOF,23.0,50.0,117.39,35.0,False
1809,MRA abdominalne aorte TOF,4.0,6.0,50.0,4.0,False
1812,MRA ekstremiteti ( vsaka okončina posebej ) TOF,6.0,21.0,250.0,9.0,False
1814,MRA TOF - drugo,35.0,51.0,45.71,20.5,False
1815,MRA možganskega žilja - arterije KS,57.0,66.0,15.79,51.0,False
1816,MRA možganskega žilja - vene KS,9.0,7.0,-22.22,5.0,False
1817,MRA aorto - cervikalna KS,15.0,12.0,-20.0,12.0,False
1818,MRA torakalne aorte KS,28.0,51.0,82.14,32.0,False
1819,MRA abdominalne aorte KS,21.0,25.0,19.05,19.0,False
1821,MRA pelvično žilje KS,4.0,17.0,325.0,5.5,False
1822,MRA pelvičnih a. In arterij spodnjih udov,15.0,22.0,46.67,12.0,False
1827,MRA trebuha s KS,1.0,2.0,100.0,3.0,False
1831,MR srca - prikaz morfoloških struktur brez KS,270.0,134.0,-50.37,237.5,False
1832,MR srca - prikaz funkcije brez KS,234.0,136.0,-41.88,203.0,False
1833,MR srca - prikaz morfoloških struktur s KS,804.0,600.0,-25.37,607.5,False
1834,MR srca - prikaz funkcije s KS,636.0,522.0,-17.92,529.5,False
1836,MRA srca in velikih žil - prikaz pretoka s KS,21.0,37.0,76.19,25.0,False
1852,RTG prstov rok,172.0,374.0,117.44,216.5,False
1853,RTG dlani,137.0,150.0,9.49,157.0,False
1854,RTG zapestja,111.0,99.0,-10.81,127.5,False
1857,RTG komolca,76.0,48.0,-36.84,69.0,False
1858,RTG nadlahti,24.0,5.0,-79.17,10.0,False
1859,RTG rame,458.0,364.0,-20.52,485.5,False
1860,RTG prstov nog,27.0,37.0,37.04,41.0,False
1861,RTG stopala,293.0,315.0,7.51,343.5,False
1862,RTG petnice,152.0,148.0,-2.63,174.0,False
1863,RTG gležnja,152.0,132.0,-13.16,152.0,False
1864,RTG goleni,29.0,15.0,-48.28,24.0,False
1865,RTG kolena,951.0,896.0,-5.78,1114.0,False
1866,RTG pogačice,8.0,13.0,62.5,9.0,False
1867,RTG stegnenice,17.0,18.0,5.88,13.0,False
1868,RTG kolka,570.0,502.0,-11.93,597.0,False
1869,RTG medenice,424.0,413.0,-2.59,472.5,False
1870,RTG sakroiliakalnega sklepa - SIS,38.0,48.0,26.32,48.0,False
1871,RTG cervikalne hrbtenice,361.0,251.0,-30.47,380.5,False
