vzs_sifra,vzs_naziv,cd_zelo_hitro,cd_hitro,cd_redno,cak_zelo_hitro,cak_hitro,cak_redno,cak_skupaj,n_tednov
1304,Biopsija periferne arterije,0.0,0.0,0.0,1.0,1.0,1.0,1.0,112
1305,Vstavitev venske valvule,0.0,0.0,0.0,0.0446,0.0536,0.0536,0.0268,112
1306,Odstranitev venske valvule,0.0,0.0,0.0,1.0,1.0,1.0,1.0,112
1308,Druge operacije na arterijah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1309,Revizije po operacijah na arterijah,0.0,0.0,0.0,1.0,1.0,1.0,1.0,112
1310,Sklerozacija krčnih žil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1311,Operacija krčnih žil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1327,Operacija žolčnih kamnov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1342,Operacija kile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1396,Ambulantna histeroskopija,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1397,"Kolposkopija, vaginoskopija",0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1400,"Odvzem tkivnega vzorca za histopatološko diagnostiko predrakavih/rakavih sprememb materničnega vratu (biopsija, odščip)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1402,"Biopsija vulve, perineja in/ali nožnice",0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1442,Poseg na žrelu,0.0,0.0,0.0,0.0179,0.0357,0.0,0.0,112
1443,Rekonstrukcija oblike obraza,0.0,0.0,0.0,1.0,1.0,1.0,1.0,110
1444,Korekcija shize,0.0,0.0,0.0,1.0,1.0,1.0,1.0,110
1446,Plastični poseg na ožilju,0.0,0.0,0.0,0.0268,0.0089,0.0,0.0,112
1471,Elektroencefalografija (EEG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1472,Nevromišična elektrodiagnostika (tudi elektromiografija EMG),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1604,Ortopedska operacija rame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1606,"Operacija Dupuytrenove kontrakture (CD, fibromatoza dlančne fascije)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1607,Operacija nožnega palca (hallux),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1608,Endoproteza gležnja,0.0,0.0,0.0,0.0357,0.0,0.0,0.0,112
1611,Operacija discus hernie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1624,Endoproteza kolka delna (PEP)/totalna (TEP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1625,Endoproteza rame delna (PEP)/totalna (TEP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
