vzs_sifra,vzs_naziv,cak_zacetek,cak_konec,sprememba,sprememba_pct
1785,MR kolka s KS,17.0,25.0,8.0,47.1
1734,CTA pelvičnih žil,53.0,60.0,7.0,13.2
1822,MRA pelvičnih a. In arterij spodnjih udov,15.0,22.0,7.0,46.7
1727,CT medeničnih organov s KS,6.0,13.0,7.0,116.7
1791,MR prsnega koša,79.0,85.0,6.0,7.6
1735,CTA zgornjih okončin,8.0,14.0,6.0,75.0
1921,Angiografija (brez koronarne angiografije),53.0,59.0,6.0,11.3
2346,MR protokol epilepsija s KS,11.0,17.0,6.0,54.5
2077,Odstranitev polipov,19.0,25.0,6.0,31.6
2072,Kriokauterizacija ali krioterapija (postopek v dermatologiji),40.0,46.0,6.0,15.0
1446,Plastični poseg na ožilju,10.0,16.0,6.0,60.0
1875,RTG trtice,16.0,21.0,5.0,31.2
1673,CT obraznih kosti,7.0,12.0,5.0,71.4
1866,RTG pogačice,8.0,13.0,5.0,62.5
2357,CT komolca,11.0,16.0,5.0,45.5
1291,Femoro - poplitealni obvod (bypass),14.0,18.0,4.0,28.6
1739,CTA selektivne angiografije,11.0,15.0,4.0,36.4
2106,Revizijska operacija ramena,2.0,6.0,4.0,200.0
1819,MRA abdominalne aorte KS,21.0,25.0,4.0,19.0
1787,MR gležnja s KS,4.0,8.0,4.0,100.0
1880,RTG prsnice (sternuma),11.0,15.0,4.0,36.4
1889,RTG abdomna,6.0,9.0,3.0,50.0
2353,MR srca in velikih žil brez KS,12.0,15.0,3.0,25.0
1717,CT medeničnih organov brez KS,11.0,13.0,2.0,18.2
1874,RTG hrbtenice v predelu L5 - S1,8.0,10.0,2.0,25.0
1784,MR roke s KS,8.0,10.0,2.0,25.0
1220,Miringoplastika,5.0,7.0,2.0,40.0
1809,MRA abdominalne aorte TOF,4.0,6.0,2.0,50.0
1736,CTA pljučnih arterij,41.0,42.0,1.0,2.4
1684,CT torakalne hrbtenice,37.0,38.0,1.0,2.7
2174,Posegi na žrelnici pri otrocih v splošni anesteziji,325.0,326.0,1.0,0.3
1303,Transkateterska embolizacija krvnih žil,48.0,49.0,1.0,2.1
1867,RTG stegnenice,17.0,18.0,1.0,5.9
1827,MRA trebuha s KS,1.0,2.0,1.0,100.0
1790,MR SIS (sakroliakalnega sklepa) s KS,13.0,14.0,1.0,7.7
1788,MR stopala s KS,30.0,31.0,1.0,3.3
1879,RTG reber,47.0,47.0,0.0,0.0
1691,CT kolena,59.0,59.0,0.0,0.0
2348,MR celotne hrbtenice,17.0,17.0,0.0,0.0
2376,Posegi na koščicah srednjega ušesa,5.0,5.0,0.0,0.0
1782,MR rame s KS,29.0,29.0,0.0,0.0
1783,MR zapestja s KS,8.0,8.0,0.0,0.0
2309,Druge ušesne operacije,297.0,297.0,0.0,0.0
1442,Poseg na žrelu,3.0,3.0,0.0,0.0
1664,Poseg na jeziku,5.0,4.0,-1.0,-20.0
1288,Operacije prirojenih srčnih napak,7.0,6.0,-1.0,-14.3
1716,CT zgornjega abdomna brez KS,16.0,15.0,-1.0,-6.2
1816,MRA možganskega žilja - vene KS,9.0,7.0,-2.0,-22.2
1881,RTG glave,5.0,3.0,-2.0,-40.0
1722,CT širokega črevesa brez KS,6.0,4.0,-2.0,-33.3
1817,MRA aorto - cervikalna KS,15.0,12.0,-3.0,-20.0
2237,Zdravljenje recesije dlesni,7.0,4.0,-3.0,-42.9
1670,CT orbit brez KS,10.0,7.0,-3.0,-30.0
2372,Posegi v zunanjem ušesu,25.0,21.0,-4.0,-16.0
2378,Vstavitev/odstranitev kohlearnega implanta,20.0,16.0,-4.0,-20.0
1862,RTG petnice,152.0,148.0,-4.0,-2.6
1876,RTG ključnice,12.0,7.0,-5.0,-41.7
1707,CT artrografija rame s KS,31.0,26.0,-5.0,-16.1
1887,RTG spodnje čeljusti (mandibule),13.0,8.0,-5.0,-38.5
1730,CT širokega črevesa s KS,19.0,13.0,-6.0,-31.6
1308,Druge operacije na arterijah,124.0,118.0,-6.0,-4.8
1290,Operacija abdominalne aorte (anevrizma ali okluzija),55.0,49.0,-6.0,-10.9
1749,CTA srca - prikaz funkcije,11.0,5.0,-6.0,-54.5
2176,Operacije malignih tumorjev v otorinolaringologiji v splošni anesteziji,25.0,18.0,-7.0,-28.0
1679,CT obnosnih votlin s KS,32.0,25.0,-7.0,-21.9
2284,RTG celotne hrbtenice,91.0,84.0,-7.0,-7.7
1719,CT abdomna brez KS - drugo,251.0,243.0,-8.0,-3.2
1152,Operacija tumorja na hrbtenici,20.0,12.0,-8.0,-40.0
1748,CTA srca - prikaz morfoloških struktur,57.0,49.0,-8.0,-14.0
2384,Drugi posegi v nosu,68.0,60.0,-8.0,-11.8
1985,UZ kolka novorojenčkov,113.0,103.0,-10.0,-8.8
1608,Endoproteza gležnja,43.0,32.0,-11.0,-25.6
1869,RTG medenice,424.0,413.0,-11.0,-2.6
2171,Lažji posegi v otorinolaringologiji v splošni anesteziji,40.0,28.0,-12.0,-30.0
1854,RTG zapestja,111.0,99.0,-12.0,-10.8
1402,"Biopsija vulve, perineja in/ali nožnice",19.0,7.0,-12.0,-63.2
2233,Obravnava bolezni slinavk,17.0,5.0,-12.0,-70.6
2165,Posegi na mandljih v lokalni anesteziji,18.0,4.0,-14.0,-77.8
1864,RTG goleni,29.0,15.0,-14.0,-48.3
1882,RTG sinusov,33.0,18.0,-15.0,-45.5
1292,Tea ACI,91.0,76.0,-15.0,-16.5
1858,RTG nadlahti,24.0,5.0,-19.0,-79.2
1863,RTG gležnja,152.0,132.0,-20.0,-13.2
2104,Revizijska operacija kolka,110.0,86.0,-24.0,-21.8
2172,Posegi na mandljih pri odrasli v splošni anesteziji,606.0,579.0,-27.0,-4.5
1857,RTG komolca,76.0,48.0,-28.0,-36.8
1872,RTG torakalne hrbtenice,196.0,168.0,-28.0,-14.3
2350,MR enterografija,111.0,80.0,-31.0,-27.9
2161,Posegi na ušesu v lokalni anesteziji,53.0,19.0,-34.0,-64.2
1604,Ortopedska operacija rame,529.0,480.0,-49.0,-9.3
1865,RTG kolena,951.0,896.0,-55.0,-5.8
1868,RTG kolka,570.0,502.0,-68.0,-11.9
2006,Artroskopija kolena (diagnostična in terapevtska),2253.0,2178.0,-75.0,-3.3
1624,Endoproteza kolka delna (PEP)/totalna (TEP),5284.0,5199.0,-85.0,-1.6
1011P,Venerološki pregled - prvi,405.0,318.0,-87.0,-21.5
1859,RTG rame,458.0,364.0,-94.0,-20.5
1832,MR srca - prikaz funkcije brez KS,234.0,136.0,-98.0,-41.9
1983,UZ sklepa,1122.0,1012.0,-110.0,-9.8
1871,RTG cervikalne hrbtenice,361.0,251.0,-110.0,-30.5
1873,RTG lumbosakralne hrbtenice,859.0,746.0,-113.0,-13.2
1834,MR srca - prikaz funkcije s KS,636.0,522.0,-114.0,-17.9
1293,Druge žilne operacije (razen arterije),417.0,292.0,-125.0,-30.0
1938,Doppler ehografija,136.0,6.0,-130.0,-95.6
1831,MR srca - prikaz morfoloških struktur brez KS,270.0,134.0,-136.0,-50.4
1265,Posegi v grlu,630.0,485.0,-145.0,-23.0
