vzs_sifra,vzs_naziv,n_zanesljivih_tednov,popolna_vrsta,v_agregatu,opomba
1713,CT prsnih organov brez KS,110,True,True,
1715,CT trebušnih organov brez KS,110,True,True,
1716,CT zgornjega abdomna brez KS,110,True,True,
1717,CT medeničnih organov brez KS,110,True,True,
1718,CT prsnega koša - pljuč HRCT,110,True,True,
1719,CT abdomna brez KS - drugo,110,True,True,
1720,CT pljuč protokol lungcare,110,True,True,
1722,CT širokega črevesa brez KS,110,True,True,
1723,CT ozkega črevesa brez KS,35,False,False,
1724,CT prsnih organov s KS,110,True,True,
1725,CT trebušnih organov s KS,110,True,True,
1726,CT zgornjega abdomna s KS,110,True,True,
1727,CT medeničnih organov s KS,110,True,True,
1728,CT jeter s portalnim ojačanjem,87,False,False,
1729,CT urografija - KS,110,True,True,
1730,CT širokega črevesa s KS,110,True,True,
1731,CT ozkega črevesa s KS,81,False,False,
1732,CTA torakalne aorte,110,True,True,
1733,CTA abdominalne aorte,110,True,True,
1734,CTA pelvičnih žil,110,True,True,
1735,CTA zgornjih okončin,110,True,True,
1736,CTA pljučnih arterij,110,True,True,
1737,CTA jeter,53,False,False,
1738,CTA ledvic,108,False,False,
1739,CTA selektivne angiografije,110,True,True,
1740,CTA aorto - cervikalna,110,True,True,
1741,CTA pelvičnih a. in a. spodnjih okončin,110,True,True,
1742,CTA torakalne in abdominalne aorte,110,True,True,
1743,CTA možganskih arterij,110,True,True,
1744,CTA venografija možganov,105,False,False,
1745,CTA venografija vratu,83,False,False,
1746,CTA venografija drugo,110,True,True,
1747,CTA srca - prikaz kalcinacij,110,True,True,
1748,CTA srca - prikaz morfoloških struktur,110,True,True,
1749,CTA srca - prikaz funkcije,110,True,True,
1750,CTA koronarnih arterij,110,True,True,
1755,MR glave brez kontrasta,110,True,True,
1756,MR obraza in drugo brez KS,110,True,True,
1757,MR vratu brez KS,110,True,True,
1758,MR multipla skleroza brez KS,110,True,True,
1759,MR glave s KS,110,True,True,
1760,MR obraza in drugo s KS,110,True,True,
1762,MR multipla skleroza s KS,110,True,True,
1763,MR vratu s KS,110,True,True,
1764,MR cervikalne hrbtenice,110,True,True,
1765,MR rame,110,True,True,
1766,MR torakalne hrbtenice,110,True,True,
1767,MR komolca,110,True,True,
1768,MR lumbosakralne hrbtenice,110,True,True,
1769,MR zapestja,110,True,True,
1770,MR roke,110,True,True,
1771,MR kolka,110,True,True,
1772,MR kolena,110,True,True,
1773,MR gležnja,110,True,True,
1774,MR stopala,110,True,True,
1776,MR skeleta brez KS - drugo,110,True,True,
1777,MR SIS (sakroliakalnega sklepa) brez KS,110,True,True,
1778,MR cervikalne hrbtenice s KS,110,True,True,
1779,MR torakalne hrbtenice s KS,110,True,True,
1780,MR komolca s KS,108,False,False,
1781,MR lumbosakralne hrbtenice s KS,110,True,True,
1782,MR rame s KS,110,True,True,
1783,MR zapestja s KS,110,True,True,
1784,MR roke s KS,110,True,True,
1785,MR kolka s KS,110,True,True,
1786,MR kolena s KS,110,True,True,
1787,MR gležnja s KS,110,True,True,
1788,MR stopala s KS,110,True,True,
1789,MR skeleta s KS - drugo,110,True,True,
1790,MR SIS (sakroliakalnega sklepa) s KS,110,True,True,
1791,MR prsnega koša,110,True,True,
1792,MR trebušnih organov,110,True,True,
1793,MR abdomna - drugo,110,True,True,
1794,MR zgornjega abdomna,110,True,True,
1795,MR medenice,110,True,True,
1796,MR jeter,110,True,True,
1797,MR dojke,110,True,True,
1798,MR prsnega koša s KS,110,True,True,
1799,MR trebušnih organov s KS,110,True,True,
1800,MR abdomna s KS - drugo,110,True,True,
1801,MR zgornjega abdomna s KS,110,True,True,
1802,MR medenice s KS,110,True,True,
1803,MR jeter s kontrastom,110,True,True,
1804,MR dojke s KS,110,True,True,
1805,MRA možganskega žilja - arterije TOF,110,True,True,
1806,MRA možganskega žilja - vene TOF,110,True,True,
1807,MRA aorto - cervikalna TOF,110,True,True,
1808,MRA torakalne aorte TOF,110,True,True,
1809,MRA abdominalne aorte TOF,110,True,True,
1810,MRA pljučnih arterij TOF,24,False,False,
1811,MRA pelvično žilje TOF,109,False,False,
1812,MRA ekstremiteti ( vsaka okončina posebej ) TOF,110,True,True,
1813,MRA renalno žilje TOF,96,False,False,
1814,MRA TOF - drugo,110,True,True,
1815,MRA možganskega žilja - arterije KS,110,True,True,
1816,MRA možganskega žilja - vene KS,110,True,True,
1817,MRA aorto - cervikalna KS,110,True,True,
1818,MRA torakalne aorte KS,110,True,True,
1819,MRA abdominalne aorte KS,110,True,True,
1820,MRA pljučnih arterij KS,39,False,False,
1821,MRA pelvično žilje KS,110,True,True,
1822,MRA pelvičnih a. In arterij spodnjih udov,110,True,True,
1823,MRA renalno žilje KS,104,False,False,
1824,MRA zgornje okončine s KS,83,False,False,
1825,MRA prsnega koša s KS,64,False,False,
1826,MRA hrbtenice s KS,60,False,False,
1827,MRA trebuha s KS,110,True,True,
1828,MRA medenice s KS,82,False,False,
1829,MRA drugih področij s KS,104,False,False,
1830,MRA pljučnih ven s KS,1,False,False,
1831,MR srca - prikaz morfoloških struktur brez KS,110,True,True,
1832,MR srca - prikaz funkcije brez KS,110,True,True,
1833,MR srca - prikaz morfoloških struktur s KS,110,True,True,
1834,MR srca - prikaz funkcije s KS,110,True,True,
1835,MR koronarnih arterij s KS,45,False,False,
1836,MRA srca in velikih žil - prikaz pretoka s KS,110,True,True,
1852,RTG prstov rok,110,True,True,
1853,RTG dlani,110,True,True,
1854,RTG zapestja,110,True,True,
1855,RTG os naviculare,13,False,False,
1856,RTG podlahti,109,False,False,
1857,RTG komolca,110,True,True,
1858,RTG nadlahti,110,True,True,
1859,RTG rame,110,True,True,
1860,RTG prstov nog,110,True,True,
1861,RTG stopala,110,True,True,
1862,RTG petnice,110,True,True,
1863,RTG gležnja,110,True,True,
1864,RTG goleni,110,True,True,
1865,RTG kolena,110,True,True,
1866,RTG pogačice,110,True,True,
1867,RTG stegnenice,110,True,True,
1868,RTG kolka,110,True,True,
1869,RTG medenice,110,True,True,
1870,RTG sakroiliakalnega sklepa - SIS,110,True,True,
1871,RTG cervikalne hrbtenice,110,True,True,
1872,RTG torakalne hrbtenice,110,True,True,
1873,RTG lumbosakralne hrbtenice,110,True,True,
1874,RTG hrbtenice v predelu L5 - S1,110,True,True,
1875,RTG trtice,110,True,True,
1876,RTG ključnice,110,True,True,
